"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2026 03:21:52.412,1 Jan 2026 03:22:25.182,32.771
2,1 Jan 2026 03:22:34.432,1 Jan 2026 03:22:53.607,19.175
3,1 Jan 2026 03:23:03.455,1 Jan 2026 03:23:35.023,31.568
4,1 Jan 2026 04:54:31.196,1 Jan 2026 05:00:11.383,340.187
5,1 Jan 2026 06:29:16.774,1 Jan 2026 06:30:58.155,101.382
6,1 Jan 2026 16:23:06.706,1 Jan 2026 16:23:39.494,32.788
7,1 Jan 2026 16:23:48.781,1 Jan 2026 16:23:55.633,6.851
8,1 Jan 2026 17:53:32.583,1 Jan 2026 17:59:25.783,353.200
9,1 Jan 2026 19:30:01.533,1 Jan 2026 19:30:27.153,25.620
10,1 Jan 2026 19:31:47.426,1 Jan 2026 19:32:01.052,13.626
11,2 Jan 2026 04:35:48.791,2 Jan 2026 04:41:23.597,334.806
12,2 Jan 2026 06:09:27.677,2 Jan 2026 06:12:27.212,179.535
13,2 Jan 2026 06:13:50.389,2 Jan 2026 06:14:00.619,10.230
14,2 Jan 2026 17:34:52.381,2 Jan 2026 17:40:16.418,324.037
15,2 Jan 2026 19:09:53.357,2 Jan 2026 19:11:51.687,118.330
16,2 Jan 2026 19:12:57.518,2 Jan 2026 19:15:12.193,134.675
17,3 Jan 2026 04:15:45.489,3 Jan 2026 04:22:28.187,402.698
18,3 Jan 2026 05:50:46.053,3 Jan 2026 05:55:58.237,312.184
19,3 Jan 2026 17:16:29.637,3 Jan 2026 17:21:20.768,291.131
20,3 Jan 2026 18:50:33.281,3 Jan 2026 18:57:09.041,395.760
21,4 Jan 2026 03:56:29.438,4 Jan 2026 04:03:23.187,413.749
22,4 Jan 2026 05:32:05.413,4 Jan 2026 05:37:37.128,331.714
23,4 Jan 2026 16:58:17.054,4 Jan 2026 16:58:20.233,3.179
24,4 Jan 2026 16:58:35.862,4 Jan 2026 17:03:12.353,276.491
25,4 Jan 2026 18:31:28.576,4 Jan 2026 18:37:57.887,389.311
26,5 Jan 2026 03:38:46.968,5 Jan 2026 03:38:53.170,6.202
27,5 Jan 2026 03:39:31.766,5 Jan 2026 03:43:47.544,255.778
28,5 Jan 2026 05:13:25.001,5 Jan 2026 05:19:04.979,339.978
29,5 Jan 2026 16:39:58.041,5 Jan 2026 16:40:53.507,55.466
30,5 Jan 2026 16:41:02.486,5 Jan 2026 16:45:09.172,246.686
31,5 Jan 2026 18:12:33.380,5 Jan 2026 18:18:48.830,375.450
32,6 Jan 2026 03:22:05.709,6 Jan 2026 03:22:38.405,32.697
33,6 Jan 2026 03:22:47.636,6 Jan 2026 03:23:06.774,19.138
34,6 Jan 2026 03:23:16.598,6 Jan 2026 03:23:50.653,34.054
35,6 Jan 2026 04:54:44.351,6 Jan 2026 05:00:24.584,340.233
36,6 Jan 2026 06:29:33.617,6 Jan 2026 06:31:08.009,94.392
37,6 Jan 2026 16:23:07.278,6 Jan 2026 16:23:09.543,2.265
38,6 Jan 2026 16:23:19.946,6 Jan 2026 16:23:52.668,32.721
39,6 Jan 2026 16:24:01.929,6 Jan 2026 16:24:08.774,6.845
40,6 Jan 2026 17:53:45.780,6 Jan 2026 17:59:39.274,353.494
41,6 Jan 2026 19:30:16.923,6 Jan 2026 19:30:40.268,23.346
42,6 Jan 2026 19:32:00.711,6 Jan 2026 19:32:11.664,10.952
43,7 Jan 2026 04:36:02.840,7 Jan 2026 04:41:36.882,334.043
44,7 Jan 2026 06:09:40.856,7 Jan 2026 06:12:40.597,179.741
45,7 Jan 2026 06:14:03.953,7 Jan 2026 06:14:13.149,9.196
46,7 Jan 2026 17:35:05.492,7 Jan 2026 17:40:29.921,324.429
47,7 Jan 2026 19:10:07.132,7 Jan 2026 19:12:04.767,117.635
48,7 Jan 2026 19:13:10.769,7 Jan 2026 19:15:24.492,133.723
49,8 Jan 2026 04:15:59.706,8 Jan 2026 04:22:41.569,401.863
50,8 Jan 2026 05:50:59.220,8 Jan 2026 05:56:11.079,311.859
51,8 Jan 2026 17:16:42.441,8 Jan 2026 17:21:33.578,291.137
52,8 Jan 2026 18:50:46.796,8 Jan 2026 18:57:23.035,396.240
53,9 Jan 2026 03:56:42.063,9 Jan 2026 04:03:36.703,414.640
54,9 Jan 2026 05:32:18.570,9 Jan 2026 05:37:50.133,331.563
55,9 Jan 2026 16:58:30.136,9 Jan 2026 16:58:34.025,3.889
