                                                                              27 Jan 2024 12:56:21
Place-BahenGS-Sensor-Sensor2-To-Satellite-Finch:  Access Summary Report


Sensor2-To-Finch
----------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                  ------    ------------------------    ------------------------    --------------
                       1     1 Jan 2026 04:52:07.987     1 Jan 2026 04:59:33.209           445.223
                       2     1 Jan 2026 17:54:10.754     1 Jan 2026 18:01:36.146           445.391
                       3     2 Jan 2026 04:33:36.013     2 Jan 2026 04:40:44.332           428.319
                       4     2 Jan 2026 06:09:44.008     2 Jan 2026 06:12:44.441           180.433
                       5     2 Jan 2026 17:35:31.463     2 Jan 2026 17:42:48.681           437.218
                       6     2 Jan 2026 19:11:10.889     2 Jan 2026 19:13:51.279           160.389
                       7     3 Jan 2026 04:15:19.855     3 Jan 2026 04:21:45.405           385.551
                       8     3 Jan 2026 05:49:36.356     3 Jan 2026 05:55:08.128           331.773
                       9     3 Jan 2026 17:17:02.872     3 Jan 2026 17:23:44.839           401.967
                      10     3 Jan 2026 18:51:24.026     3 Jan 2026 18:56:34.817           310.791
                      11     4 Jan 2026 03:57:23.944     4 Jan 2026 04:02:32.109           308.165
                      12     4 Jan 2026 05:30:11.579     4 Jan 2026 05:36:54.866           403.287
                      13     4 Jan 2026 16:58:50.150     4 Jan 2026 17:04:19.363           329.213
                      14     4 Jan 2026 18:32:11.224     4 Jan 2026 18:38:38.263           387.039
                      15     5 Jan 2026 03:40:09.546     5 Jan 2026 03:42:43.351           153.806
                      16     5 Jan 2026 05:11:08.197     5 Jan 2026 05:18:25.951           437.754
                      17     5 Jan 2026 16:41:15.808     5 Jan 2026 16:44:09.584           173.776
                      18     5 Jan 2026 18:13:12.588     5 Jan 2026 18:20:21.656           429.068
                      19     6 Jan 2026 04:52:21.133     6 Jan 2026 04:59:46.412           445.279
                      20     6 Jan 2026 17:54:23.954     6 Jan 2026 18:01:49.296           445.342
                      21     7 Jan 2026 04:33:48.984     7 Jan 2026 04:40:57.643           428.659
                      22     7 Jan 2026 06:09:58.799     7 Jan 2026 06:12:56.269           177.470
                      23     7 Jan 2026 17:35:44.549     7 Jan 2026 17:43:02.011           437.462
                      24     7 Jan 2026 19:11:25.398     7 Jan 2026 19:14:02.844           157.447
                      25     8 Jan 2026 04:15:32.625     8 Jan 2026 04:21:58.849           386.224
