"Time (UTCG)","Power (W)","Solar Intensity"
1 Aug 2026 00:00:00.000,0.581,1.000000
1 Aug 2026 00:01:00.000,0.621,1.000000
1 Aug 2026 00:02:00.000,0.650,1.000000
1 Aug 2026 00:03:00.000,0.694,1.000000
1 Aug 2026 00:04:00.000,0.728,1.000000
1 Aug 2026 00:05:00.000,0.760,1.000000
1 Aug 2026 00:06:00.000,0.786,1.000000
1 Aug 2026 00:07:00.000,0.813,1.000000
1 Aug 2026 00:08:00.000,0.831,1.000000
1 Aug 2026 00:09:00.000,0.850,1.000000
1 Aug 2026 00:10:00.000,0.861,1.000000
1 Aug 2026 00:11:00.000,0.871,1.000000
1 Aug 2026 00:12:00.000,0.872,1.000000
1 Aug 2026 00:13:00.000,0.877,1.000000
1 Aug 2026 00:14:00.000,0.878,1.000000
1 Aug 2026 00:15:00.000,0.868,1.000000
1 Aug 2026 00:16:00.000,0.858,1.000000
1 Aug 2026 00:17:00.000,0.848,1.000000
1 Aug 2026 00:18:00.000,0.828,1.000000
1 Aug 2026 00:19:00.000,0.807,1.000000
1 Aug 2026 00:20:00.000,0.781,1.000000
1 Aug 2026 00:21:00.000,0.753,1.000000
1 Aug 2026 00:22:00.000,0.721,1.000000
1 Aug 2026 00:23:00.000,0.686,1.000000
1 Aug 2026 00:24:00.000,0.649,1.000000
1 Aug 2026 00:25:00.000,0.608,1.000000
1 Aug 2026 00:26:00.000,0.565,1.000000
1 Aug 2026 00:27:00.000,0.519,1.000000
1 Aug 2026 00:28:00.000,0.471,1.000000
1 Aug 2026 00:29:00.000,0.422,1.000000
1 Aug 2026 00:30:00.000,0.369,1.000000
1 Aug 2026 00:31:00.000,0.316,1.000000
1 Aug 2026 00:32:00.000,0.259,1.000000
1 Aug 2026 00:33:00.000,0.203,1.000000
1 Aug 2026 00:34:00.000,0.143,1.000000
1 Aug 2026 00:35:00.000,0.090,1.000000
1 Aug 2026 00:36:00.000,0.032,1.000000
1 Aug 2026 00:37:00.000,0.000,1.000000
1 Aug 2026 00:38:00.000,0.000,1.000000
1 Aug 2026 00:39:00.000,0.000,1.000000
1 Aug 2026 00:40:00.000,0.000,1.000000
1 Aug 2026 00:41:00.000,0.000,1.000000
1 Aug 2026 00:42:00.000,0.000,1.000000
1 Aug 2026 00:43:00.000,0.000,0.000000
1 Aug 2026 00:44:00.000,0.000,0.000000
1 Aug 2026 00:45:00.000,0.000,0.000000
1 Aug 2026 00:46:00.000,0.000,0.000000
1 Aug 2026 00:47:00.000,0.000,0.000000
1 Aug 2026 00:48:00.000,0.000,0.000000
1 Aug 2026 00:49:00.000,0.000,0.000000
1 Aug 2026 00:50:00.000,0.000,0.000000
1 Aug 2026 00:51:00.000,0.000,0.000000
1 Aug 2026 00:52:00.000,0.000,0.000000
1 Aug 2026 00:53:00.000,0.000,0.000000
1 Aug 2026 00:54:00.000,0.000,0.000000
1 Aug 2026 00:55:00.000,0.000,0.000000
1 Aug 2026 00:56:00.000,0.000,0.000000
1 Aug 2026 00:57:00.000,0.000,0.000000
1 Aug 2026 00:58:00.000,0.000,0.000000
1 Aug 2026 00:59:00.000,0.000,0.000000
1 Aug 2026 01:00:00.000,0.000,0.000000
1 Aug 2026 01:01:00.000,0.000,0.000000
1 Aug 2026 01:02:00.000,0.000,0.000000
1 Aug 2026 01:03:00.000,0.000,0.000000
1 Aug 2026 01:04:00.000,0.000,0.000000
1 Aug 2026 01:05:00.000,0.000,0.000000
1 Aug 2026 01:06:00.000,0.000,0.000000
1 Aug 2026 01:07:00.000,0.000,0.000000
1 Aug 2026 01:08:00.000,0.000,0.000000
1 Aug 2026 01:09:00.000,0.000,0.000000
1 Aug 2026 01:10:00.000,0.000,0.000000
1 Aug 2026 01:11:00.000,0.000,0.000000
